id,company_id,formula_number,name,bag_id,markup_id,distrib1_markup,distrib2_markup,retail_list_markup,notes
192,1,"5-48180-75","TWIN PINES BREEDER'S MIX  75#",3,8,15,25,30,
193,1,"5-48200","ALAMO SUPER CRACK 50#",22,10,20,25,30,
194,1,"5-48250","GEORGE'S  14% PIGEON MIX  75#",6,7,20,25,30,
195,1,"5-48275","GEORGE'S  19% BREEDER MIX  75#",6,7,20,25,30,
200,1,"5-48650","PIGEON MIX 11.0%  (J.WILLIAMS)",22,10,35,40,,
203,1,"3-48850","BROOKHURST 3-GRAIN MIX (Bulk)",41,124,,,,"$90.00 Margin plus frt."
205,1,"5-50675-70","JESSE'S COMPETION MIX 70#",287,8,20,25,30,"Changed from 35 to 40 on 3/8/12"
207,1,"5-51011","NUTRENA WHITE TAG 11.0% (CORN)",289,8,15,25,30,
208,1,"5-51013","NUTRENA RED TAG 13.0%  (POPCOR",289,8,15,25,30,
209,1,"5-51015","NUTRENA BLUE TAG 15.0%  (POPCO",289,8,15,25,30,
210,1,"5-51017","NUTRENA GOLD TAG 17.0%  (POPCO",289,8,15,25,30,
215,1,"8-52600","CUSTOM PIGEON GRIT 50#",21,5,,,,
216,1,"8-61670","WC RED PIGEON GRIT  50#",18,4,30,50,55,
220,1,"5-57350","SPECIAL  'K""      50#",10,8,20,25,30,"quoted 12.95  1 ton
12.50  3 ton  10/17/11"
221,1,"2-58050","GAMEBIRD CONDITIONER 50#",8,8,15,25,30,
224,1,"2-58250","GALLO DE ORO",38,8,15,25,30,
226,1,"3-58450","CANDE'S MIX 70#",287,9,20,25,30,
227,1,"7-58550","WILD WING 50# (EVANS)",23,6,10,25,30,"quoted: 8/2/2011  12.65 one ton
11.85 Three ton.
Quoted:1/10/12  11.95 one ton
11.45 Three ton 50#"
229,1,"3-58650","CALIENTE 15% GAMEBIRD  50#",289,8,22,25,30,
230,1,"3-58675","CERRI GAME MIX  50#",289,9,15,25,30,
231,1,"3-58750","CALIENTE 12% GAMEBIRD  50#",289,8,25,30,35,
233,1,"3-58900","J. R.'S  SLASHER  MIX  50#",289,9,22,25,30,
234,1,"3-58950","NUTRENA GUAMZALES MIX 15.0%",289,9,22,25,30,
237,1,"3-59175","JIM PADILLA GAMEBIRD MIX  75#",6,8,20,25,30,
238,1,"3-59200","SANFORD MIX -CKD CORN----BULK",41,6,10,15,20,"Freight included in Bag margin. 
$ 28.00 per ton del.
Priced out at .24 lb  11/16/11"
239,1,"3-59250","PURINA TIGRE ROJO GAMEBIRD  50",293,9,15,25,30,
245,1,"3-59575","GEORGE'S  GAME BIRD  MIX  75#",6,8,15,25,30,"5/4/12 charged him 17.45 bag for mix."
246,1,"2-60050","TMC GAMECOCK 50#",16,9,15,25,30,"New Price for fall 13.15 sx"
247,1,"2-58075","TMC GAMECOCK 75#",5,8,15,20,35,"16.95 two weeks last half Oct 2013.  Three pallet orders"
248,1,"1-60102","B.D. CANARY DIET 6/ 2#",68,25,20,25,30,
250,1,"1-60120","B.D. CANARY DIET 20#",30,16,10,25,30,
251,1,"1-60140","B.D. CANARY DIET 40#",28,15,15,25,30,
254,1,"1-60220","B.D. CANARY ROLLER 20#",30,16,10,25,30,
255,1,"1-60240","B.D. CANARY ROLLER 40#",28,15,10,25,30,
256,1,"1-60302","B.D. COCKATIEL 6/2# (FANCY)",68,29,15,25,30,"Changed to 135 to match 5/5 markup"
258,1,"1-60320","B.D. COCKATIEL 20# (FANCY)",30,14,10,30,35,"Same formula as Associated/Purina.  Change both at the same time."
259,1,"1-60340","B.D. COCKATIEL 40# (FANCY)",28,13,10,30,35,
260,1,"1-60502","B.D. COCK/LOVE PREM. 6/2#",68,24,15,30,35,
261,1,"1-60505","B.D. COCKATIEL  PREM. 5/5#",252,22,15,30,35,
262,1,"1-60520","B.D. COCKATIEL PREM 20#",30,16,10,30,35,
263,1,"1-60540","B.D. COCKATIEL PREM 40#",28,15,10,30,35,
265,1,"1-60604","WESTERN DOVE & QUAIL  6/4#",270,20,25,30,35,
266,1,"1-60620","WESTERN DOVE & QUAIL  20#",30,12,15,27,32,"Change markup on 7/30/13 from
70"
267,1,"1-60640","WESTERN DELIGHT DOVE & QUAIL  40#",28,10,15,28,34,"Change margin from 50 to 34 7/30/13"
268,1,"1-60702","B.D. FINCH   6/2#",68,24,10,30,35,
269,1,"1-60705","B.D. FINCH  5/5#",252,22,15,30,35,
270,1,"1-60720","B.D. FINCH 20#",30,16,10,30,35,
271,1,"1-60740","B.D. FINCH 40#",28,15,10,30,35,"Same formula as Associated.  Change both at the same time."
273,1,"1-60850","FINCH  (PREMIUM)  50#  PRASTER",27,13,50,,,
274,1,"1-60902","GUINEA PIG  6/2#",68,25,15,35,45,
275,1,"1-60905","GUINEA PIG  5/5#",252,22,50,,,
276,1,"1-60920","GUINEA PIG 20#",30,17,,,,
277,1,"1-60950","GUINEA PIG 50#",45,6,,,,
278,1,"1-61102","B.D. HAMSTER MIX  6/2#",68,14,35,45,50,
279,1,"1-61104","B.D. HAMSTER MIX  6/4#",270,22,35,45,50,
280,1,"1-61120","B.D. HAMSTER MIX  20#",30,18,35,45,50,
281,1,"1-61140","B.D. HAMSTER MIX  40#",28,16,35,40,50,
282,1,"8-65201","BLUE HEALTH GRIT  6/2#",68,29,15,30,50,"added 4 oz. Of anise oil, 1/25/06"
283,1,"1-61703","B.D. PARROT SUN   6/3#",253,29,10,30,35,
285,1,"1-61820","B.D. PARROT SUN   20#",30,15,10,25,30,"Changed corn to 500 and raised
sun kernals to 200 3/20/12.
Same formula as Associated.  Change both at the same time."
289,1,"1-61903","B.D. PARROT SAF 6/3#",253,23,10,35,40,
290,1,"1-61905","B.D. PARROT SAF  5/5#",252,22,15,35,40,
291,1,"1-61920","B.D. PARROT SAF  20#",30,18,10,30,35,
292,1,"1-61940","B.D. PARROT SAF  40#",28,17,10,30,35,
293,1,"1-61950","B.D. PARROT SAF  50#",27,16,15,25,30,
294,1,"1-62120","B.D. PARAKEET  25%  20#",30,12,10,30,35,
295,1,"1-62140","B.D. PARAKEET  25%  40#",28,11,10,30,35,"Same formula as Associated.  Change both at same time"
296,1,"1-62202","B.D. PARAKEET  42%  6/2#",68,24,10,30,35,
297,1,"1-62005","B.D. PARAKEET  25%  5/5#",252,22,10,30,35,
298,1,"1-62220","B.D. PARAKEET  42%  20#",30,12,10,25,30,
299,1,"1-62240","B.D. PARAKEET  42%  40#",28,11,10,20,25,
300,1,"1-62505","RABBIT PELLETS  6/4#",270,22,40,,,
301,1,"1-62520","RABBIT PELLETS  20#",30,14,45,,,
302,1,"1-63440","RABBIT PELLETS W TIMOTHY 40#",28,8,50,,,
303,1,"1-62650","MOUSE DIET  50#",45,6,,,,
309,1,"8-61325","MINERAL GRIT, GREY  25#",20,19,25,30,50,
318,1,"1-70002","N.F. CANARY  6/2#",68,29,20,40,50,
319,1,"1-70020","N.F. CANARY  20#",34,25,20,40,50,
320,1,"1-70102","N.F. COCKATIEL 6/2#",68,29,20,40,50,
322,1,"1-70120","N.F. COCKATIELL 20#",34,25,20,40,50,
323,1,"1-70202","N.F. FINCH  6/2#",68,29,20,45,50,
324,1,"1-70220","N.F. FINCH  20#",34,25,20,40,50,
325,1,"1-70302","N.F. PARAKEET 6/2#",68,29,20,40,50,
327,1,"1-70320","N.F. PARAKEET 20#",34,25,20,40,50,"Quoted $13.85/bag in 50# for Wally"
329,1,"1-70403","N.F.  PARROT  (SAF) 6/3.5#",246,29,20,40,50,
330,1,"1-70420","N.F.  PARROT  (SAF) 20#",34,25,20,40,50,
331,1,"1-70503","N.F.  LG  HOOKBILL (SUN)  6/3#",253,29,20,40,50,
332,1,"1-70520","N.F.  LG  HOOKBILL (SUN)  20#",34,25,20,40,50,
333,1,"1-70602","N.F.  SM. SAF  HOOKBILL  6/2#",68,29,20,50,55,
335,1,"1-70620","N.F.  SM. SAF  HOOKBILL   20#",34,25,20,40,50,
341,1,"6-71320","WBU SELECT BLEND  20#",62,16,20,25,35,"7/12 change markup 75/70"
344,1,"6-71620","WBU SUPREME BLEND  20#",62,16,15,17,20,"2/13 change  markup 70/80"
348,1,"6-72120","WBU DELUXE BLEND 20#",62,16,,,,"2/13 change markup 50/55"
349,1,"6-72220","WBU ""NO MESS"" DP  20#",62,16,15,17,20,
366,1,"7-92450","MONTGOMERY WILD BIRD  42%  50#",22,9,,,,
408,1,"1-97020","NUTRENA CANARY MIX  20#",291,14,15,25,30,
410,1,"1-97220","NUTRENA COCKATIEL  20#",291,14,15,25,30,"Get to 80 Markup"
411,1,"1-97240","NUTRENA COCKATIEL 40#",290,13,15,25,30,"get to 75"
412,1,"1-97320","NUTRENA DOVE & QUAIL  20#",291,12,15,25,30,"get to 55"
413,1,"1-97340","NUTRENA DOVE & QUAIL  40#",290,10,15,25,30,"get to 50"
414,1,"1-97420","NUTRENA FINCH MIX  20#",291,14,15,25,30,
415,1,"1-97440","NUTRENA FINCH MIX  40#",290,13,15,25,30,
416,1,"1-97520","NUTRENA PARAKEET  25% 20#",291,12,15,25,30,
417,1,"1-97540","NUTRENA PARAKEET  25% 40#",290,11,15,25,30,
418,1,"1-97625","NUTRENA PARROT (SUN) 25#",47,16,15,25,30,
420,1,"1-97740","NUTRENA LG. HOOKBILL (NO SUN) 40#",290,14,15,25,30,
431,0,,"Test",134,0,0,0,0,
432,2,"4-60102","FEATHERGLOW  PARAKEET   2#",172,70,60,0,0,
433,2,"8-48125","SS-481 COOKING MIX  25#",153,55,,0,0,
434,2,"8-98000","CLEOL(OIL)  FOR SUPERSEED MIX'",,40,,0,0,
435,2,"8-30725","SS-307 DOVE & QUAIL 25#",153,55,50,0,0,
436,2,"8-30325","SS-303 FINCH MIX 25#",153,56,50,0,0,
437,2,"8-30625","SS-306 HOOKBILL w/SUNFLOWER  2",153,56,50,0,0,
438,2,"8-38725","SS-387 HOOKBILL w/SAFFLOWER  2",153,56,50,0,0,
439,2,"8-30425","SS-304 GOULDIAN 25#",153,56,50,0,0,
440,2,"8-30525","SS-305 COCKATIEL/LOVEBIRD 25#",153,56,50,0,0,
441,2,"8-30125","SS-301 BUDGIE DIET 25#",153,57,50,0,0,
442,2,"8-30105","SS-301 BUDGIE DIET 5#",161,62,50,0,0,
443,2,"8-30102","SS-301 BUDGIE DIET 2#",172,64,50,0,0,
444,2,"8-30225","SS-302 CANARY DIET 25#",153,56,50,0,0,
445,2,"8-30205","SS-302 CANARY DIET 5#",161,62,50,0,0,
446,2,"8-30202","SS-302 CANARY DIET 2#",172,64,50,0,0,
447,2,"8-30305","SS-303 FINCH MIX 5#",161,62,50,0,0,
448,2,"8-30302","SS-303 FINCH MIX 2#",172,64,50,0,0,
449,2,"8-30405","SS-304 GOULDIAN 5#",161,62,50,0,0,
450,2,"8-30402","SS-304 GOULDIAN 2#",172,64,50,0,0,
451,2,"8-30505","SS-305 COCKATIEL/LOVEBIRD 5#",161,62,50,0,0,
452,2,"8-30502","SS-305 COCKATIEL/LOVEBIRD 2#",172,64,50,0,0,
453,2,"8-30605","SS-306 HOOKBILL W/ SUNFLOWER 5",161,60,50,0,0,
454,2,"8-30602","SS-306 HOOKBILL W/ SUNFLOWER 2",172,64,50,0,0,
455,2,"8-38705","SS-387 HOOKBILL W/SAFFLOWER 5#",161,60,50,0,0,
456,2,"8-38702","SS-387 HOOKBILL W/SAFFLOWER 2#",172,63,50,0,0,
457,2,"8-30705","SS-307 DOVE & QUAIL 5#",161,60,50,0,0,
458,2,"8-30702","SS-307 DOVE & QUAIL 2#",172,62,50,0,0,
459,2,"8-48105","SS-481 COOKING MIX  5#",161,62,,0,0,
460,2,"8-48102","SS-481 COOKING MIX  2#",172,64,,0,0,
461,2,"8-34505","SM-345 FRUIT & NUT 5#",167,66,,0,0,
462,2,"8-34502","SM-345 FRUIT & NUT 2#",172,67,,0,0,
463,2,"8-34501","SM-345 FRUIT & NUT 1#",173,68,,0,0,
464,2,"8-34508","SM-345 FRUIT & NUT 8OZ.",165,70,,0,0,
465,2,"8-34525","SM-345 FRUIT & NUT 25#",153,75,,0,0,
466,2,"4-93061","AVIAN SCIENCE CANARY/FINCH 40#",147,64,60,0,0,
467,2,"4-93062","AVIAN SCIENCE CANARY/FINCH 20#",148,64,60,0,0,
468,2,"4-93074","AVIAN SCIENCE CANARY/FINCH 8/5",161,64,60,0,0,
469,2,"4-93073","AVIAN SCIENCE CANARY/FINCH 9/2",172,64,60,0,0,
470,2,"4-93063","AVIAN SCIENCE COCKATIEL 40#",147,64,55,0,0,
471,2,"4-93064","AVIAN SCIENCE COCKATIEL 20#",148,64,55,0,0,
472,2,"4-93072","AVIAN SCIENCE COCKATIEL 8/4#",162,64,60,0,0,
473,2,"4-93071","AVIAN SCIENCE COCKATIEL 9/2#",172,64,60,0,0,
474,2,"8-23525","SS-235 SPECIAL PARROT W/SUN  2",153,56,40,0,0,
475,2,"8-23505","SS-235 SPECIAL PARROT W/SUN  5",161,60,,0,0,
476,2,"8-23502","SS-235 SPECIAL PARROT W/SUN  2",172,64,,0,0,
477,2,"4-93065","AVIAN SCIENCE PARAKEET 40#",147,64,50,0,0,
478,2,"4-93066","AVIAN SCIENCE PARAKEET 20#",148,64,50,0,0,
479,2,"4-93076","AVIAN SCIENCE PARAKEET 8/5#",161,64,55,0,0,
480,2,"4-93075","AVIAN SCIENCE PARAKEET 9/2#",172,64,55,0,0,
481,2,"4-93067","AVIAN SCIENCE PARROT 40#",147,64,50,0,0,
482,2,"4-93068","AVIAN SCIENCE PARROT 20#",148,64,55,0,0,
483,2,"4-93078","AVIAN SCIENCE PARROT 8/4#",162,64,60,0,0,
484,2,"4-10325","CANARY TREAT 25#",158,64,70,0,0,
485,2,"4-40125","PARAKEET TREAT 25#",158,64,60,0,0,
486,2,"4-40102","PARAKEET TREAT 2#",172,64,65,0,0,
487,2,"4-60025","PARROT TREAT 20#",145,64,65,0,0,
488,2,"4-60045","PARROT TREAT 3.5#",163,64,63,0,0,
489,2,"4-60044","PARROT TREAT 24OZ.",170,64,65,0,0,
490,2,"4-10302","CANARY TREAT 12/2#",172,71,60,0,0,
491,2,"4-20026","COCKATIEL GOURMET 25#",158,64,60,0,0,
492,2,"4-20030","COCKATIEL GOURMET 12/2#",172,64,65,0,0,
493,2,"4-20150","COCKATIEL REGULAR N/SUN  50#",157,57,55,0,0,
494,2,"4-20125","COCKATIEL REGULAR N/SUN  25#",158,58,60,0,0,
495,2,"4-20250","COCKATIEL REGULAR W/SUN 50#",157,59,55,0,0,
496,2,"4-20225","COCKATIEL REGULAR W/SUN 25#",158,60,60,0,0,
497,2,"4-20350","FINCH PREMIUM  50#",157,61,50,0,0,
498,2,"4-20325","FINCH PREMIUM  25#",158,62,55,0,0,
499,2,"4-20450","FINCH SPECIAL  50#",157,59,50,0,0,
500,2,"4-20425","FINCH SPECIAL  25#",158,62,55,0,0,
501,2,"4-30150","PARAKEET  15%  50#",157,56,50,0,0,
502,2,"4-30125","PARAKEET  15%  25#",158,60,55,0,0,
503,2,"4-30225","PARAKEET  25%  25#",158,60,55,0,0,
504,2,"4-50125","HOOKBILL REG.  (Safflower)  25",158,63,55,0,0,
505,2,"4-50102","HOOKBILL REG.  (Safflower)  10",161,64,60,0,0,
506,2,"4-50325","PARROT PREMIUM  25#",158,67,55,0,0,
507,2,"4-50305","PARROT PREMIUM  15#",139,67,50,0,0,
508,2,"4-10050","CANARY SUPER 50#",157,66,60,0,0,
509,2,"4-10024","CANARY SUPER 25#",158,66,60,0,0,
510,2,"8-23625","SS-236 SPECIAL PARROT W/SAF 25",153,56,50,0,0,
511,2,"8-23605","SS-236 SPECIAL PARROT W/SAF 5#",161,62,40,0,0,
512,2,"8-23602","SS-236 SPECIAL PARROT W/SAF 2#",172,64,40,0,0,
513,2,"4-30031","FINCH SUPER 10/5#",161,64,65,0,0,
514,2,"4-30032","FINCH SUPER 12/2#",172,64,65,0,0,
515,2,"4-80150","WILD BIRD PREMIUM 50#",138,54,35,0,0,
516,2,"4-80120","WILD BIRD PREMIUM 20#",143,54,20,0,0,
517,2,"4-80105","WILD BIRD PREMIUM 10/5#",161,55,45,0,0,
518,2,"4-80250","WILD BIRD AUDUBON 50#",156,54,25,0,0,
519,2,"4-80220","WILD BIRD AUDUBON 20#",143,55,25,0,0,
520,2,"4-80205","WILD BIRD AUDUBON 10/5#",161,55,45,0,0,
521,2,"4-10540","ROGUE DELUXE 40#",144,54,40,0,0,
522,2,"4-10520","ROGUE DELUXE 20#",143,54,40,0,0,
523,2,"4-10505","ROGUE DELUXE 10/5#",161,55,45,0,0,
524,2,"4-10850","ROGUE SELECT 50#",156,54,38,0,0,
525,2,"4-10820","ROGUE SELECT 20#",143,54,38,0,0,
526,2,"4-10805","ROGUE SELECT 10/5#",161,55,40,0,0,
527,2,"8-44701","BIRD BEAN MIX  1#",173,61,30,0,0,
528,2,"8-44702","BIRD BEAN MIX  2#",172,56,30,0,0,
529,2,"8-44705","BIRD BEAN MIX  5#",161,56,30,0,0,
530,2,"8-44725","BIRD BEAN MIX  25#",153,57,30,0,0,
531,2,"4-20051","COCKATIEL SUPER N/SUN 50#",157,64,60,0,0,
532,2,"4-20024","COCKATIEL SUPER N/SUN 25#",158,63,55,0,0,
533,2,"4-20033","COCKATIEL SUPER N/SUN 10/5#",161,64,65,0,0,
534,2,"4-20034","COCKATIEL SUPER N/SUN 12/2#",172,64,65,0,0,
535,2,"4-20050","COCKAITEL SUPER W/SUN 50#",157,64,65,0,0,
536,2,"4-20025","COCKATIEL SUPER W/SUN 25#",158,65,60,0,0,
537,2,"4-20027","COCKATIEL SUPER W/SUN 10/5#",161,64,70,0,0,
538,2,"4-20028","COCKATIEL SUPER W/SUN 12/2#",172,64,60,0,0,
539,2,"4-80520","MELODY WILD BIRD 20#",143,55,50,0,0,
540,2,"4-80620","RHAPSODY WILD BIRD 20#",143,55,60,0,0,
541,2,"4-90029","GUINEA PIG GOURMET 40#",138,54,45,0,0,
542,2,"4-90028","GUINEA PIG GOURMET    20#",137,56,50,0,0,
543,2,"4-90027","GUINEA PIG GOURMET 12/4#",162,56,50,0,0,
544,2,"4-80440","WILD BIRD ULTRA 40#",144,54,50,0,0,
545,2,"4-80420","WILD BIRD ULTRA 20#",143,54,50,0,0,
546,2,"4-80405","WILD BIRD ULTRA 10/5#",161,55,40,0,0,
547,2,"4-80350","WESTERN DOVE & QUAIL 50#",156,54,50,0,0,
548,2,"4-80320","WESTERN DOVE & QUAIL 20#",143,54,50,0,0,
549,2,"4-80305","WESTERN DOVE & QUAIL 10/5#",161,55,55,0,0,
550,2,"4-10740","ROGUE ULTRA PREMIUM 40#",144,54,38,0,0,
551,2,"4-10720","ROGUE ULTRA PREMIUM 20#",143,54,38,0,0,
552,2,"4-10705","ROGUE ULTRA PREMIUM 10/5#",161,55,40,0,0,
553,2,"4-30050","FINCH SUPER 50#",157,64,60,0,0,
554,2,"4-30025","FINCH SUPER  25#",158,64,60,0,0,
555,2,"4-10620","ROGUE SPECIAL FINCH 20#",143,54,35,0,0,
556,2,"4-10605","ROGUE SPECIAL FINCH 10/5#",161,55,40,0,0,
557,2,"4-40050","PARAKEET SUPER 50#",157,64,60,0,0,
558,2,"4-40025","PARAKEET SUPER 25#",158,64,60,0,0,
559,2,"4-40035","PARAKEET SUPER 10/5#",161,64,65,0,0,
560,2,"4-40036","PARAKEET SUPER 12/2#",172,64,65,0,0,
561,2,"4-45040","LOVEBIRD/CONURE 40#",146,64,60,0,0,
562,2,"4-45020","LOVEBIRD/CONURE 20#",145,64,60,0,0,
563,2,"4-45004","LOVEBIRD/CONURE 10/4#",162,65,65,0,0,
564,2,"4-45002","LOVEBIRD/CONURE 12/28OZ.",155,64,65,0,0,
565,2,"4-50040","HOOKBILL SUPER 40#",146,64,60,0,0,
566,2,"4-50020","HOOKBILL SUPER 20#",145,64,60,0,0,
567,2,"4-50037","HOOKBILL SUPER 10/5#",161,64,65,0,0,
568,2,"4-50038","HOOKBILL SUPER 12/2#",172,64,65,0,0,
569,2,"4-60038","PARROT SUPER 25#",158,64,60,0,0,
570,2,"4-60039","PARROT SUPER 10/3.5#",163,64,65,0,0,
571,2,"4-60040","PARROT SUPER 12/20OZ",168,64,65,0,0,
572,2,"4-70040","MACAW SUPER 40#",146,64,60,0,0,
573,2,"4-70020","MACAW SUPER 20#",145,64,60,0,0,
574,2,"4-43004","PARROTLET 10/4#",169,64,65,0,0,
575,2,"4-43020","PARROTLET 20#",145,64,60,0,0,
576,2,"4-80045","RABBIT GOURMET 40#",138,60,50,0,0,
577,2,"4-80046","RABBIT GOURMET 20#",137,61,50,0,0,
578,2,"4-80047","RABBIT GOURMET 12/4#",162,65,50,0,0,
579,2,"4-70050","RODENT GOURMET  40#",138,57,50,0,0,
580,2,"4-70049","RODENT GOURMET  20#",137,57,45,0,0,
581,2,"4-70048","RODENT GOURMET  10/4#",162,55,55,0,0,
582,2,"4-70047","RODENT GOURMET  12/24 oz",170,55,55,0,0,
583,2,"4-70043","(Old Hamster Gourmet)  40#",170,65,55,0,0,
584,2,"4-70044","RODENT PLUS (Old Hamster Gourm",137,64,55,0,0,
585,2,"4-70045","RODENT PLUS (Old Hamster Gourm",162,67,60,0,0,
586,2,"4-70046","RODENT PLUS (Old Hamster Gourm",170,69,60,0,0,
587,2,"4-85025","VOLKMAN SQUIRREL MIX 20#",145,63,60,0,0,
588,2,"4-85005","VOLKMAN SQUIRREL MIX 4#",162,59,45,0,0,
589,2,"4-60120","FEATHERGLOW  PARAKEET 20#",135,65,50,0,0,
590,2,"4-60204","FEATHERGLOW LARGE PARROT 4#",162,67,50,0,0,
591,2,"4-60220","FEATHERGLOW LARGE PARROT 20#",135,64,60,0,0,
592,2,"4-60304","FEATHERGLOW SMALL HOOKBILL 4#",162,64,63,0,0,
593,2,"4-60320","FEATHERGLOW SMALL HOOKBILL 20#",135,64,60,0,0,
594,2,"4-60402","FEATHERGLOW CANARY/FINCH 2#",172,64,55,0,0,
595,2,"4-60420","FEATHERGLOW CANARY/FINCH 20#",135,64,60,0,0,
596,2,"4-60601","FEATHERGLOW GOURMET EGGFOOD 1#",173,73,55,0,0,
